time,open,high,low,close
2015-08-03T00:00:00Z,2.83162,3.52499,0.631633,0.748064
2015-08-10T00:00:00Z,0.748064,2.22679,0.650267,1.48124
2015-08-17T00:00:00Z,1.48124,1.56603,1.11556,1.3597
2015-08-24T00:00:00Z,1.3597,1.36799,1.07725,1.32773
2015-08-31T00:00:00Z,1.32773,1.39274,1.2119,1.29844
2015-09-07T00:00:00Z,1.29844,1.30231,0.917519,0.942978
2015-09-14T00:00:00Z,0.942978,1.04551,0.834555,0.947741
2015-09-21T00:00:00Z,0.947741,0.956595,0.716408,0.721488
2015-09-28T00:00:00Z,0.721488,0.741767,0.570101,0.66482
2015-10-05T00:00:00Z,0.66482,0.692296,0.593559,0.634807
2015-10-12T00:00:00Z,0.634807,0.657789,0.490826,0.514461
2015-10-19T00:00:00Z,0.514461,0.687019,0.423512,0.647926
2015-10-26T00:00:00Z,0.647926,1.33994,0.599146,1.06304
2015-11-02T00:00:00Z,1.06304,1.09529,0.766014,1.03268
2015-11-09T00:00:00Z,1.03268,1.10642,0.75536,0.913996
2015-11-16T00:00:00Z,0.913996,1.03295,0.892811,0.965312
2015-11-23T00:00:00Z,0.965312,0.968857,0.822203,0.872049
2015-11-30T00:00:00Z,0.872049,0.893696,0.791756,0.84216
2015-12-07T00:00:00Z,0.84216,1.04537,0.775487,0.960356
2015-12-14T00:00:00Z,0.960356,1.02884,0.891706,0.905563
2015-12-21T00:00:00Z,0.905563,0.91739,0.843032,0.859714
2015-12-28T00:00:00Z,0.859714,0.990845,0.833694,0.973616
2016-01-04T00:00:00Z,0.973616,1.00103,0.93187,0.996282
2016-01-11T00:00:00Z,0.996282,1.3187,0.996282,1.31291
2016-01-18T00:00:00Z,1.31291,2.29617,1.31233,2.15436
2016-01-25T00:00:00Z,2.15436,2.82578,2.07034,2.35908
2016-02-01T00:00:00Z,2.35908,3.05473,2.13285,2.96829
2016-02-08T00:00:00Z,2.96829,6.55214,2.92454,5.27387
2016-02-15T00:00:00Z,5.27387,5.86678,3.47771,4.71151
2016-02-22T00:00:00Z,4.71151,6.64741,4.66695,6.44995
2016-02-29T00:00:00Z,6.44995,12.274,6.16405,11.1925
2016-03-07T00:00:00Z,11.1925,15.1929,8.84723,15.0377
2016-03-14T00:00:00Z,15.0377,15.0377,8.70627,10.4011
2016-03-21T00:00:00Z,10.4011,12.4626,10.2034,10.4248
2016-03-28T00:00:00Z,10.4248,12.1705,10.4248,11.5907
2016-04-04T00:00:00Z,11.5907,11.6183,7.83338,8.91538
2016-04-11T00:00:00Z,8.91538,9.702,7.09149,9.41497
2016-04-18T00:00:00Z,9.41497,9.45415,7.73694,8.01953
2016-04-25T00:00:00Z,8.01953,9.3282,7.10771,8.78903
2016-05-02T00:00:00Z,8.78903,10.3215,8.78903,9.50566
2016-05-09T00:00:00Z,9.50566,11.0505,9.23745,9.96902
2016-05-16T00:00:00Z,9.96902,15.0482,9.96419,14.2864
