time,open,high,low,close,Volume,Volume MA
2015-08-07T08:00:00Z,2.83162,3.50361,2.83162,3.50361,0,NaN
2015-08-07T16:00:00Z,3.50361,3.52499,2.59042,2.78972,0,NaN
2015-08-08T00:00:00Z,2.78972,2.79795,2.56135,2.77022,0,NaN
2015-08-08T08:00:00Z,2.77022,2.77022,1.27777,1.27777,0,NaN
2015-08-08T16:00:00Z,1.27777,1.27777,0.732233,0.804941,0,NaN
2015-08-09T00:00:00Z,0.804941,0.87981,0.631633,0.728783,0,NaN
2015-08-09T08:00:00Z,0.728783,0.775177,0.674506,0.713388,0,NaN
2015-08-09T16:00:00Z,0.713388,0.821126,0.713388,0.748064,0,NaN
2015-08-10T00:00:00Z,0.748064,0.748064,0.652118,0.673775,0,NaN
2015-08-10T08:00:00Z,0.673775,0.710925,0.650267,0.676961,0,NaN
2015-08-10T16:00:00Z,0.676961,0.726878,0.66557,0.704063,0,NaN
2015-08-11T00:00:00Z,0.704063,0.719292,0.670157,0.692108,0,NaN
2015-08-11T08:00:00Z,0.692108,0.797394,0.686367,0.797394,0,NaN
2015-08-11T16:00:00Z,0.797394,1.11791,0.797394,1.05199,0,NaN
2015-08-12T00:00:00Z,1.05199,1.09636,0.93891,0.987921,0,NaN
2015-08-12T08:00:00Z,0.987921,1.22895,0.966381,1.1857,0,NaN
2015-08-12T16:00:00Z,1.1857,1.28021,1.1857,1.25885,0,NaN
2015-08-13T00:00:00Z,1.25885,1.25885,1.18044,1.23942,0,NaN
2015-08-13T08:00:00Z,1.23942,1.44626,1.20838,1.43597,0,NaN
2015-08-13T16:00:00Z,1.43597,1.93963,1.43597,1.85099,0,0
2015-08-14T00:00:00Z,1.85099,1.9984,1.85099,1.99464,0,0
2015-08-14T08:00:00Z,1.99464,2.22679,1.90459,2.20248,0,0
2015-08-14T16:00:00Z,2.20248,2.20248,1.83042,1.83042,0,0
2015-08-15T00:00:00Z,1.83042,1.87724,1.59183,1.80715,0,0
